"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1976","Joe Morgan","CIN","32",".320",".444",".576","1.020","472","151","113","27","111","60","64.4","9.5","1009179"
"1975","Joe Morgan","CIN","31",".327",".466",".508",".974","498","163","107","17","94","67","65.6","11.0","1009179"
"2000","Jeff Kent","SFG","32",".334",".424",".596","1.021","587","196","114","33","125","12","53.7","7.4","1119"
"2020","DJ LeMahieu","NYY","31",".364",".421",".590","1.011","195","71","41","10","27","3","21.0","2.5","9874"
"1996","Chuck Knoblauch","MIN","27",".341",".448",".517",".965","578","197","140","13","72","45","46.3","8.1","609"
"2007","Chase Utley","PHI","28",".332",".410",".566",".976","530","176","104","22","103","9","44.0","7.7","1679"
"2000","Edgardo Alfonzo","NYM","26",".324",".425",".542",".967","544","176","109","25","94","3","44.2","6.4","859"
"1974","Joe Morgan","CIN","30",".293",".427",".494",".921","512","150","107","22","67","58","52.2","8.6","1009179"
"1999","Roberto Alomar","CLE","31",".323",".422",".533",".955","563","182","138","24","120","37","43.5","7.3","860"
"1981","Bobby Grich","CAL","32",".304",".378",".543",".921","352","107","56","22","61","2","28.0","5.3","1005033"
"2016","Daniel Murphy","WSN","31",".347",".390",".595",".985","531","184","88","25","104","5","42.2","5.6","4316"
"1975","Rod Carew","MIN","29",".359",".421",".497",".919","535","192","89","14","80","35","40.7","7.1","1001942"
"2009","Ben Zobrist","TBR","28",".297",".405",".543",".948","501","149","91","27","91","17","43.7","8.7","7435"
"2001","Roberto Alomar","CLE","33",".336",".415",".541",".956","575","193","113","20","100","30","46.9","6.6","860"
"2017","Jose Altuve","HOU","27",".346",".410",".547",".957","590","204","112","24","81","32","52.7","7.6","5417"
"2019","Ketel Marte","ARI","25",".329",".389",".592",".981","569","187","97","32","92","10","45.5","7.0","13613"
"1973","Joe Morgan","CIN","29",".290",".406",".493",".899","576","167","116","26","82","67","53.0","9.5","1009179"
"1973","Davey Johnson","ATL","30",".270",".370",".546",".916","559","151","84","43","99","5","35.1","5.3","1006440"
"1995","Chuck Knoblauch","MIN","26",".333",".424",".487",".911","538","179","107","11","63","46","33.1","6.4","609"
"1996","Roberto Alomar","BAL","28",".328",".411",".527",".938","588","193","132","22","94","17","34.3","5.2","860"
"1997","Craig Biggio","HOU","31",".309",".415",".501",".916","619","191","146","22","81","47","50.3","9.3","549"
"1974","Rod Carew","MIN","28",".364",".433",".446",".879","599","218","86","3","55","38","41.7","6.6","1001942"
"1977","Joe Morgan","CIN","33",".288",".417",".478",".895","521","150","113","22","78","49","41.1","5.8","1009179"
"1993","Roberto Alomar","TOR","25",".326",".408",".492",".900","589","192","109","17","93","55","40.5","5.7","860"
"2002","Jeff Kent","SFG","34",".313",".368",".565",".933","623","195","102","37","108","5","41.3","6.7","1119"
"2001","Bret Boone","SEA","32",".331",".372",".578",".950","623","206","118","37","141","5","41.2","7.8","1067"
"2017","Jose Ramirez","CLE","24",".318",".374",".583",".957","585","186","107","29","83","17","36.9","6.5","13510"
"1990","Ryne Sandberg","CHC","30",".306",".354",".559",".913","615","188","116","40","100","25","35.0","6.3","1011411"
"1998","Craig Biggio","HOU","32",".325",".403",".503",".906","646","210","123","20","88","50","48.9","6.5","549"
"1999","Jay Bell","ARI","33",".289",".374",".557",".931","589","170","132","38","112","7","26.2","4.7","48"
"2009","Chase Utley","PHI","30",".282",".397",".508",".905","571","161","112","31","93","23","46.8","8.2","1679"
"2012","Robinson Cano","NYY","29",".313",".379",".550",".929","627","196","105","33","94","3","36.6","7.3","3269"
"2003","Marcus Giles","ATL","25",".316",".390",".526",".917","551","174","101","21","69","14","37.1","6.7","89"
"1995","Craig Biggio","HOU","29",".302",".406",".483",".889","553","167","123","22","77","33","40.8","6.2","549"
