"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1997","Mike Piazza","LAD","28",".362",".431",".638","1.070","556","201","104","40","124","5","66.9","9.1","893"
"2009","Joe Mauer","MIN","26",".365",".444",".587","1.031","523","191","94","28","96","4","50.8","8.4","1857"
"1993","Chris Hoiles","BAL","28",".310",".416",".585","1.001","419","130","80","29","82","1","41.0","7.0","1005935"
"1995","Mike Piazza","LAD","26",".346",".400",".606","1.006","434","150","82","32","93","1","40.9","6.0","893"
"2000","Mike Piazza","NYM","31",".324",".398",".614","1.012","482","156","90","38","113","4","39.4","5.8","893"
"2007","Jorge Posada","NYY","35",".338",".426",".543",".970","506","171","91","20","90","2","34.6","5.6","841"
"1996","Mike Piazza","LAD","27",".336",".422",".563",".985","547","184","87","36","105","0","50.2","6.6","893"
"1970","Dick Dietz","SFG","28",".300",".426",".515",".941","493","148","82","22","107","0","39.1","5.1","1003290"
"1972","Carlton Fisk","BOS","24",".293",".370",".538",".909","457","134","74","22","61","5","33.7","6.6","1004101"
"2012","Buster Posey","SFG","25",".336",".408",".549",".957","530","178","78","24","103","1","41.8","10.1","9166"
"1998","Mike Piazza","- - -","29",".328",".390",".570",".960","561","184","88","32","111","1","40.8","6.6","893"
"2000","Jorge Posada","NYY","28",".287",".417",".527",".943","505","145","92","28","86","2","33.3","6.1","841"
"1977","Carlton Fisk","BOS","29",".315",".402",".521",".922","536","169","106","26","102","7","31.9","7.6","1004101"
"1972","Johnny Bench","CIN","24",".270",".379",".541",".920","538","145","87","40","125","6","39.4","9.2","1000826"
"1993","Mike Piazza","LAD","24",".318",".370",".561",".932","547","174","81","35","112","3","36.3","7.4","893"
"1979","Darrell Porter","KCR","27",".291",".421",".484",".905","533","155","101","20","112","3","35.5","7.5","1010450"
"1970","Johnny Bench","CIN","22",".293",".345",".587",".932","605","177","97","45","148","5","37.3","7.9","1000826"
"1992","Darren Daulton","PHI","30",".270",".385",".524",".908","485","131","80","27","109","11","37.1","7.2","1003010"
"2003","Jorge Posada","NYY","31",".281",".405",".518",".922","481","135","83","30","101","2","28.4","6.0","841"
"1997","Todd Hundley","NYM","28",".273",".394",".549",".943","417","114","78","30","86","2","26.8","4.4","284"
"1970","Joe Torre","STL","29",".325",".398",".498",".896","624","203","89","21","100","2","33.1","6.0","1013133"
"2006","Joe Mauer","MIN","23",".347",".429",".507",".936","521","181","86","13","84","8","33.0","5.8","1857"
"1975","Ted Simmons","STL","25",".332",".396",".491",".887","581","193","80","18","100","1","32.6","5.7","1011986"
"2001","Mike Piazza","NYM","32",".300",".384",".573",".957","503","151","81","36","94","0","31.2","4.6","893"
"1979","Brian Downing","CAL","28",".326",".418",".462",".880","509","166","87","12","75","3","31.8","5.0","1003451"
"1975","Gene Tenace","OAK","28",".255",".395",".464",".859","498","127","83","29","87","7","37.0","5.6","1012911"
"1998","Jason Kendall","PIT","24",".327",".411",".473",".884","535","175","95","12","75","26","31.5","5.8","993"
"2000","Jason Kendall","PIT","26",".320",".412",".470",".882","579","185","112","14","58","22","24.0","4.8","993"
"1999","Mike Piazza","NYM","30",".303",".361",".575",".936","534","162","100","40","124","2","24.2","4.5","893"
"1977","Ted Simmons","STL","27",".318",".408",".500",".908","516","164","82","21","95","2","26.3","5.7","1011986"
"1982","Gary Carter","MON","28",".293",".381",".510",".890","557","163","91","29","97","2","34.9","8.4","1002015"
"1999","Ivan Rodriguez","TEX","27",".332",".356",".558",".914","600","199","116","35","113","25","20.9","6.8","1275"
"1991","Mickey Tettleton","DET","30",".263",".387",".491",".878","501","132","85","31","89","3","28.3","5.6","1012939"
"1974","Johnny Bench","CIN","26",".280",".363",".507",".870","621","174","108","33","129","5","33.7","8.0","1000826"
"1978","Ted Simmons","STL","28",".287",".377",".512",".889","516","148","71","22","80","1","29.2","5.9","1011986"
"2001","Paul Lo Duca","LAD","29",".320",".374",".543",".917","460","147","71","25","90","2","25.5","5.1","662"
"1975","Johnny Bench","CIN","27",".283",".359",".519",".878","530","150","83","28","110","11","29.9","6.8","1000826"
"1994","Mickey Tettleton","DET","33",".248",".419",".463",".882","339","84","57","17","51","0","16.7","1.4","1012939"
"2008","Brian McCann","ATL","24",".301",".373",".523",".896","509","153","68","23","87","5","20.5","8.6","4810"
"1999","Mike Lieberthal","PHI","27",".300",".363",".551",".914","510","153","84","31","96","0","18.0","4.2","959"
"1994","Mike Piazza","LAD","25",".319",".370",".541",".910","405","129","64","24","92","1","20.8","3.8","893"
"1983","Carlton Fisk","CHW","35",".289",".355",".518",".874","488","141","85","26","86","9","23.2","4.6","1004101"
"1980","Ted Simmons","STL","30",".303",".375",".505",".880","495","150","84","21","98","1","26.6","5.2","1011986"
"2004","Jorge Posada","NYY","32",".272",".400",".481",".881","449","122","72","21","81","1","16.3","4.1","841"
"2011","Alex Avila","DET","24",".295",".389",".506",".895","464","137","63","19","82","3","24.5","4.5","7476"
"2013","Joe Mauer","MIN","30",".324",".404",".476",".880","445","144","62","11","47","0","25.3","5.2","1857"
"1976","Gene Tenace","OAK","29",".249",".373",".458",".831","417","104","64","22","66","5","25.7","3.9","1012911"
"1993","Darren Daulton","PHI","31",".257",".392",".482",".875","510","131","90","24","105","5","26.2","5.3","1003010"
"1979","Gene Tenace","SDP","32",".263",".403",".445",".848","463","122","61","20","67","2","28.4","5.4","1012911"
"2004","Ivan Rodriguez","DET","32",".334",".383",".510",".893","527","176","72","19","86","7","22.0","4.7","1275"
"1977","Gary Carter","MON","23",".284",".356",".525",".881","522","148","86","31","84","5","24.7","5.3","1002015"
"2002","Mike Piazza","NYM","33",".280",".359",".544",".903","478","134","69","33","98","0","20.3","4.6","893"
"1977","Johnny Bench","CIN","29",".275",".348",".540",".889","494","136","67","31","109","2","21.0","4.9","1000826"
"2008","Joe Mauer","MIN","25",".328",".413",".451",".864","536","176","98","9","85","1","28.7","6.4","1857"
"1973","Thurman Munson","NYY","26",".301",".362",".487",".849","519","156","80","20","74","4","25.3","6.6","1009334"
"1982","Lance Parrish","DET","26",".284",".338",".529",".867","486","138","75","32","87","3","20.7","5.2","1010021"
"1996","Todd Hundley","NYM","27",".259",".356",".550",".906","540","140","85","41","112","1","25.3","4.7","284"
"2010","Joe Mauer","MIN","27",".327",".402",".469",".871","510","167","88","9","75","1","24.4","5.7","1857"
"1984","Gary Carter","MON","30",".294",".366",".487",".853","596","175","75","27","106","2","31.0","7.1","1002015"
"1975","Manny Sanguillen","PIT","31",".328",".391",".451",".842","481","158","60","9","58","6","20.6","4.7","1011434"
"1987","Matt Nokes","DET","23",".289",".345",".536",".880","461","133","69","32","87","2","19.9","3.4","1009615"
"2012","Joe Mauer","MIN","29",".319",".416",".446",".861","545","174","81","10","85","8","27.2","4.6","1857"
"2012","Yadier Molina","STL","29",".315",".373",".501",".874","505","159","65","22","76","12","20.9","7.7","7007"
"1978","Carlton Fisk","BOS","30",".284",".366",".475",".841","571","162","94","20","88","7","21.7","5.7","1004101"
"2004","Jason Varitek","BOS","32",".296",".390",".482",".872","463","137","67","18","73","10","15.5","4.1","217"
"1992","Mickey Tettleton","DET","31",".238",".379",".469",".848","525","125","82","32","83","0","22.2","5.0","1012939"
"2009","Victor Martinez","- - -","30",".303",".381",".480",".861","588","178","88","23","108","1","19.6","2.7","393"
"1993","Mickey Tettleton","DET","32",".245",".372",".492",".864","522","128","79","32","110","3","19.1","2.5","1012939"
"1998","Ivan Rodriguez","TEX","26",".321",".358",".513",".871","579","186","88","21","91","9","17.2","6.4","1275"
"1977","Gene Tenace","SDP","30",".233",".415",".410",".824","437","102","66","15","61","5","24.6","4.6","1012911"
"2006","Jorge Posada","NYY","34",".277",".374",".492",".867","465","129","65","23","93","3","13.1","4.3","841"
"1969","Johnny Bench","CIN","21",".293",".353",".487",".840","532","156","83","26","90","6","16.8","5.3","1000826"
"2007","Victor Martinez","CLE","28",".301",".374",".505",".879","562","169","78","25","114","0","20.8","5.4","393"
"2004","Javy Lopez","BAL","33",".316",".370",".503",".872","579","183","83","23","86","0","18.7","4.4","103"
"2008","Geovany Soto","CHC","25",".285",".364",".504",".868","494","141","66","23","86","0","11.3","3.0","3707"
"1973","Joe Ferguson","LAD","26",".263",".369",".470",".839","487","128","84","25","88","1","24.4","4.9","1003990"
"2014","Buster Posey","SFG","27",".311",".364",".490",".854","547","170","72","22","89","0","25.4","7.6","9166"
"1979","Ted Simmons","STL","29",".283",".369",".507",".875","448","127","68","26","87","0","18.3","3.9","1011986"
"1990","Carlton Fisk","CHW","42",".285",".378",".451",".829","452","129","65","18","65","7","19.8","5.0","1004101"
"1985","Gary Carter","NYM","31",".281",".365",".488",".853","555","156","83","32","100","1","27.4","6.7","1002015"
"2006","Victor Martinez","CLE","27",".316",".391",".465",".856","572","181","82","16","93","0","9.3","2.8","393"
"1996","Terry Steinbach","OAK","34",".272",".342",".529",".871","514","140","79","35","100","0","12.8","3.9","1012473"
"1985","Mike Scioscia","LAD","26",".296",".407",".420",".826","429","127","47","7","53","3","23.0","5.5","1011667"
"2005","Jason Varitek","BOS","33",".281",".366",".489",".856","470","132","70","22","70","2","13.6","3.5","217"
"1997","Jason Kendall","PIT","23",".294",".391",".434",".825","486","143","71","8","49","18","15.0","4.5","993"
"1971","Dick Dietz","SFG","29",".252",".387",".419",".806","453","114","58","19","72","1","18.9","4.0","1003290"
"2007","Russell Martin","LAD","24",".293",".374",".469",".843","540","158","87","19","87","21","18.3","5.5","4616"
"2014","Jonathan Lucroy","MIL","28",".301",".373",".465",".837","585","176","73","13","69","4","22.3","8.2","7870"
"1998","Javy Lopez","ATL","27",".284",".328",".540",".868","489","139","73","34","106","5","15.4","3.8","103"
"1978","Gene Tenace","SDP","31",".224",".392",".409",".801","401","90","60","16","61","6","21.1","4.8","1012911"
"2017","Gary Sanchez","NYY","24",".278",".345",".531",".876","471","131","79","33","90","2","18.6","4.3","11442"
"1985","Rich Gedman","BOS","25",".295",".362",".484",".846","498","147","66","18","80","2","17.1","5.6","1004592"
"2005","Victor Martinez","CLE","26",".305",".378",".475",".853","547","167","73","20","80","0","16.6","4.7","393"
"1995","Mike Stanley","NYY","32",".268",".360",".481",".841","399","107","63","18","83","1","11.7","3.1","1012416"
"1971","Bill Freehan","DET","29",".277",".353",".465",".818","516","143","57","21","71","2","16.1","4.9","1004315"
"2017","Buster Posey","SFG","30",".320",".400",".462",".861","494","158","62","12","67","6","18.8","4.7","9166"
"1997","Ivan Rodriguez","TEX","25",".313",".360",".484",".844","597","187","98","20","77","7","11.3","6.2","1275"
"1971","Earl Williams","ATL","22",".260",".324",".491",".815","497","129","64","33","87","0","13.6","3.0","1013995"
"1994","Ivan Rodriguez","TEX","22",".298",".360",".488",".848","363","108","56","16","57","6","6.5","3.0","1275"
"2010","Victor Martinez","BOS","31",".302",".351",".493",".844","493","149","64","20","79","1","11.4","3.7","393"
"2013","Carlos Santana","CLE","27",".268",".377",".455",".832","541","145","75","20","74","3","21.6","2.3","2396"
"2012","Miguel Montero","ARI","28",".286",".391",".438",".829","486","139","65","15","88","0","10.7","5.6","3364"
"2003","Jason Varitek","BOS","31",".273",".351",".512",".863","451","123","63","25","85","3","10.3","3.8","217"
"1980","Carlton Fisk","BOS","32",".289",".353",".467",".819","478","138","73","18","62","11","11.4","3.8","1004101"
