"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1995","Edgar Martinez","SEA","32",".356",".479",".628","1.107","511","182","121","29","113","4","67.9","7.0","1086"
"2002","Manny Ramirez","BOS","30",".349",".450",".647","1.097","436","152","84","33","107","0","48.9","5.3","210"
"1997","Frank Thomas","CHW","29",".347",".456",".611","1.067","530","184","110","35","125","1","65.5","7.2","255"
"1996","Edgar Martinez","SEA","33",".327",".464",".595","1.059","499","163","121","26","103","3","54.7","5.9","1086"
"2006","Travis Hafner","CLE","29",".308",".439",".659","1.097","454","140","100","42","117","0","54.1","6.0","1573"
"2007","David Ortiz","BOS","31",".332",".445",".621","1.066","549","182","116","35","117","3","58.1","6.3","745"
"2020","Marcell Ozuna","ATL","29",".338",".431",".636","1.067","228","77","38","18","56","0","26.7","2.5","10324"
"1991","Frank Thomas","CHW","23",".318",".453",".553","1.006","559","178","104","32","109","1","64.6","7.3","255"
"1995","Frank Thomas","CHW","27",".308",".454",".606","1.061","493","152","102","40","111","3","57.1","5.4","255"
"2000","Frank Thomas","CHW","32",".328",".436",".625","1.061","582","191","115","43","143","1","56.3","5.9","255"
"2002","Jason Giambi","NYY","31",".314",".435",".598","1.034","560","176","120","41","122","2","58.2","6.6","818"
"1999","Rafael Palmeiro","TEX","34",".324",".420",".630","1.050","565","183","96","47","148","2","49.5","5.4","1266"
"1997","Edgar Martinez","SEA","34",".330",".456",".554","1.009","542","179","104","28","108","2","53.9","6.1","1086"
"1999","Edgar Martinez","SEA","36",".337",".447",".554","1.001","502","169","86","24","86","7","50.2","5.3","1086"
"1987","Paul Molitor","MIL","30",".353",".438",".566","1.003","465","164","114","16","75","45","49.2","6.0","1009040"
"1980","Reggie Jackson","NYY","34",".300",".398",".597",".995","514","154","94","41","111","1","48.3","5.0","1006308"
"1997","David Justice","CLE","31",".329",".418",".596","1.013","495","163","84","33","101","3","41.7","4.2","923"
"2018","J.D. Martinez","BOS","30",".330",".402",".629","1.031","569","188","111","43","130","6","50.5","5.9","6184"
"2006","David Ortiz","BOS","30",".287",".413",".636","1.049","558","160","115","54","137","1","46.6","5.3","745"
"1998","Edgar Martinez","SEA","35",".322",".428",".564",".991","559","180","86","29","103","1","48.6","5.5","1086"
"1978","Jim Rice","BOS","25",".315",".370",".600",".970","677","213","121","46","139","7","51.2","7.7","1010897"
"2008","Milton Bradley","TEX","30",".321",".436",".563",".999","414","133","78","22","77","5","33.6","4.3","369"
"2000","Edgar Martinez","SEA","37",".324",".423",".579","1.002","556","180","100","37","145","3","49.5","5.3","1086"
"2005","Travis Hafner","CLE","28",".305",".408",".595","1.003","486","148","94","33","108","0","46.9","5.3","1573"
"2005","Jason Giambi","NYY","34",".271",".440",".535",".975","417","113","74","32","87","0","41.4","4.2","818"
"2006","Jim Thome","CHW","35",".288",".416",".598","1.014","490","141","108","42","109","0","43.7","4.8","409"
"2016","David Ortiz","BOS","40",".315",".401",".620","1.021","537","169","79","38","127","2","37.5","4.5","745"
"2005","David Ortiz","BOS","29",".300",".397",".604","1.001","601","180","119","47","148","1","45.7","5.3","745"
"2004","Travis Hafner","CLE","27",".311",".410",".583",".993","482","150","96","28","109","3","43.5","4.7","1573"
"2019","Nelson Cruz","MIN","38",".311",".392",".639","1.031","454","141","81","41","108","0","37.7","4.3","2434"
"1999","John Jaha","OAK","33",".276",".414",".556",".970","457","126","93","35","111","2","37.9","4.1","1006336"
"2001","Manny Ramirez","BOS","29",".306",".405",".609","1.014","529","162","93","41","125","0","43.1","5.2","210"
"1977","Jim Rice","BOS","24",".320",".376",".593",".969","644","206","104","39","114","5","42.5","5.0","1010897"
"1994","Bob Hamelin","KCR","26",".282",".388",".599",".987","312","88","64","24","65","4","22.2","2.4","1005269"
"1998","Eric Davis","BAL","36",".327",".388",".582",".970","452","148","81","28","89","7","32.7","3.2","1003048"
"2007","Jim Thome","CHW","36",".275",".410",".563",".973","432","119","79","35","96","0","29.5","3.4","409"
"2020","Nelson Cruz","MIN","39",".303",".397",".595",".992","185","56","33","16","33","0","16.1","2.0","2434"
"2014","Victor Martinez","DET","35",".335",".409",".565",".974","561","188","87","32","103","3","40.0","4.5","393"
"1994","Chili Davis","CAL","34",".311",".410",".561",".971","392","122","72","26","84","3","26.7","3.0","1003041"
"2001","Edgar Martinez","SEA","38",".306",".423",".543",".966","470","144","80","23","116","4","41.8","4.7","1086"
"2004","David Ortiz","BOS","28",".301",".380",".603",".983","582","175","94","41","139","0","36.0","4.2","745"
"1995","Chili Davis","CAL","35",".318",".429",".514",".943","424","135","81","20","86","3","27.5","3.2","1003041"
"2011","David Ortiz","BOS","35",".309",".398",".554",".953","525","162","84","29","96","1","30.0","3.7","745"
"2006","Jason Giambi","NYY","35",".253",".413",".558",".971","446","113","92","37","113","2","31.4","3.0","818"
"1996","John Jaha","MIL","30",".300",".398",".543",".941","543","163","108","34","118","3","29.6","3.7","1006336"
"1998","Tim Salmon","ANA","29",".300",".410",".533",".943","463","139","84","26","88","0","31.0","3.3","32"
"2000","David Justice","- - -","34",".286",".377",".584",".961","524","150","89","41","118","2","30.8","5.2","923"
"2003","Frank Thomas","CHW","35",".267",".390",".562",".952","546","146","87","42","105","0","35.0","4.2","255"
"1978","Larry Hisle","MIL","31",".290",".374",".533",".906","520","151","96","34","115","10","37.0","5.0","1005858"
"2003","Jason Giambi","NYY","32",".250",".412",".527",".939","535","134","97","41","107","2","42.8","5.0","818"
"1996","Dave Nilsson","MIL","26",".331",".407",".525",".932","453","150","81","17","84","2","21.2","2.3","1009601"
"2002","Rafael Palmeiro","TEX","37",".273",".391",".571",".962","546","149","99","43","105","2","32.9","4.5","1266"
"1994","Paul Molitor","TOR","37",".341",".410",".518",".927","454","155","86","14","75","20","30.6","3.4","1009040"
"1995","Harold Baines","BAL","36",".299",".403",".540",".943","385","115","60","24","63","0","22.1","2.4","1000434"
"1993","Paul Molitor","TOR","36",".332",".402",".509",".911","636","211","121","22","111","22","42.4","4.8","1009040"
"2003","David Ortiz","BOS","27",".288",".369",".592",".961","448","129","79","31","101","0","25.4","3.2","745"
"2000","Mike Sweeney","KCR","26",".333",".407",".523",".930","618","206","105","29","144","8","28.8","3.3","634"
"2013","David Ortiz","BOS","37",".309",".395",".564",".959","518","160","84","30","103","4","27.0","3.4","745"
"1995","Jose Canseco","BOS","30",".306",".378",".556",".933","396","121","64","24","81","4","21.2","2.5","1001918"
