Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1980,George Brett,KCR,Third Base,27,0.39,0.454,0.664,1.118,449,175,87,24,118,15,59.7,9.1,1001400
1981,Mike Schmidt,PHI,Third Base,31,0.316,0.435,0.644,1.08,354,112,78,31,91,12,47.4,7.8,1011586
2013,Miguel Cabrera,DET,Third Base,30,0.348,0.442,0.636,1.078,555,193,103,44,137,3,62.6,8.6,1744
1996,Jim Thome,CLE,Third Base,25,0.311,0.45,0.612,1.062,505,157,122,38,116,2,54.5,7.4,409
1999,Chipper Jones,ATL,Third Base,27,0.319,0.441,0.633,1.074,567,181,116,45,110,25,65.3,7.3,97
2008,Chipper Jones,ATL,Third Base,36,0.364,0.47,0.574,1.044,439,160,82,22,75,4,49.5,7.1,97
2007,Alex Rodriguez,NYY,Third Base,31,0.314,0.422,0.645,1.067,583,183,143,54,156,24,74.2,9.6,1274
1987,Wade Boggs,BOS,Third Base,29,0.363,0.461,0.588,1.049,551,200,108,24,89,1,58.6,8.9,1001124
1969,Harmon Killebrew,MIN,Third Base,33,0.276,0.427,0.584,1.011,555,153,106,49,140,8,60.7,7.1,1006905
2005,Alex Rodriguez,NYY,Third Base,29,0.321,0.421,0.61,1.031,605,194,124,48,130,21,66.6,9.1,1274
2007,Chipper Jones,ATL,Third Base,35,0.337,0.425,0.604,1.029,513,173,108,29,102,5,47.6,6.9,97
1987,Paul Molitor,MIL,Third Base,30,0.353,0.438,0.566,1.003,465,164,114,16,75,45,49.2,6,1009040
1995,Jim Thome,CLE,Third Base,24,0.314,0.438,0.558,0.996,452,142,92,25,73,4,41.7,6,409
1985,George Brett,KCR,Third Base,32,0.335,0.436,0.585,1.022,550,184,108,30,112,9,55.5,8.3,1001400
1971,Joe Torre,STL,Third Base,30,0.363,0.421,0.555,0.976,634,230,97,24,137,4,57.2,6.9,1013133
1985,Pedro Guerrero,LAD,Third Base,29,0.32,0.422,0.577,0.999,487,156,99,33,87,12,53.9,7.8,1005120
1980,Mike Schmidt,PHI,Third Base,30,0.286,0.38,0.624,1.004,548,157,104,48,121,12,53.2,9,1011586
2001,Chipper Jones,ATL,Third Base,29,0.33,0.427,0.605,1.032,572,189,113,38,102,9,51.6,6.1,97
1988,Wade Boggs,BOS,Third Base,30,0.366,0.476,0.49,0.965,584,214,128,5,58,2,54.2,8.6,1001124
1970,Tony Perez,CIN,Third Base,28,0.317,0.401,0.589,0.99,587,186,107,40,129,8,52.9,8.2,1010188
1996,Ken Caminiti,SDP,Third Base,33,0.326,0.408,0.621,1.028,546,178,109,40,130,11,55.7,7.5,1001863
1992,Gary Sheffield,SDP,Third Base,23,0.33,0.385,0.58,0.965,557,184,87,33,100,5,46.9,6.5,114
2000,Troy Glaus,ANA,Third Base,23,0.284,0.404,0.604,1.008,563,160,120,47,102,14,43.7,8.2,15
2004,Adrian Beltre,LAD,Third Base,25,0.334,0.388,0.629,1.017,598,200,104,48,121,7,49.5,9.7,639
2001,Albert Pujols,STL,Third Base,21,0.329,0.403,0.61,1.013,590,194,112,37,130,1,50.7,7.2,1177
2004,Scott Rolen,STL,Third Base,29,0.314,0.409,0.598,1.007,500,157,109,34,124,4,49.3,9,970
2010,Jose Bautista,TOR,Third Base,29,0.26,0.378,0.617,0.995,569,148,109,54,124,9,51.6,6.5,1887
1973,Darrell Evans,ATL,Third Base,26,0.281,0.403,0.556,0.959,595,167,114,41,104,6,49.4,9.7,1003864
1992,Edgar Martinez,SEA,Third Base,29,0.343,0.404,0.544,0.948,528,181,100,18,73,14,44.6,6,1086
2004,Melvin Mora,BAL,Third Base,32,0.34,0.419,0.562,0.981,550,187,111,27,104,11,47.4,6.2,157
2019,Alex Bregman,HOU,Third Base,25,0.296,0.423,0.592,1.015,554,164,122,41,112,5,58.7,8.5,17678
2012,Miguel Cabrera,DET,Third Base,29,0.33,0.393,0.606,0.999,622,205,109,44,139,4,46.2,7.3,1744
1974,Mike Schmidt,PHI,Third Base,24,0.282,0.395,0.546,0.941,568,160,108,36,116,23,44.7,9.4,1011586
1983,Wade Boggs,BOS,Third Base,25,0.361,0.444,0.486,0.931,582,210,100,5,73,3,43.3,7.7,1001124
2006,Miguel Cabrera,FLA,Third Base,23,0.339,0.43,0.568,0.998,576,195,112,26,114,9,44.3,6.3,1744
1985,Wade Boggs,BOS,Third Base,27,0.368,0.45,0.478,0.928,653,240,107,8,78,2,50.9,8.8,1001124
1977,Mike Schmidt,PHI,Third Base,27,0.274,0.393,0.574,0.967,544,149,114,38,101,15,44.5,9.2,1011586
2020,Jose Ramirez,CLE,Third Base,27,0.292,0.386,0.607,0.993,219,64,45,17,46,10,21.9,3.4,13510
1986,Wade Boggs,BOS,Third Base,28,0.357,0.453,0.486,0.939,580,207,107,8,71,0,43.2,7.7,1001124
2007,David Wright,NYM,Third Base,24,0.325,0.416,0.546,0.963,604,196,113,30,107,34,53.4,8.4,3787
2009,Kevin Youkilis,BOS,Third Base,30,0.305,0.413,0.548,0.961,491,150,99,27,94,7,36.6,5.9,1935
2019,Anthony Rendon,WSN,Third Base,29,0.319,0.412,0.598,1.01,545,174,117,34,126,5,46.8,7,12861
1970,Harmon Killebrew,MIN,Third Base,34,0.271,0.411,0.546,0.957,527,143,96,41,113,0,41.2,5.5,1006905
1976,Bill Madlock,CHC,Third Base,25,0.339,0.412,0.5,0.912,514,174,68,15,84,15,31,4.8,1007957
1999,Fernando Tatis,STL,Third Base,24,0.298,0.404,0.553,0.957,537,160,104,34,107,21,35.8,3.2,798
1998,Chipper Jones,ATL,Third Base,26,0.313,0.404,0.547,0.951,601,188,123,34,107,16,45.8,7.1,97
1995,Bobby Bonilla,,Third Base,32,0.329,0.388,0.576,0.963,554,182,96,28,99,0,35.7,3.3,1001168
