Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1997,Mike Piazza,LAD,Catcher,28,0.362,0.431,0.638,1.07,556,201,104,40,124,5,66.9,9.1,893
2009,Joe Mauer,MIN,Catcher,26,0.365,0.444,0.587,1.031,523,191,94,28,96,4,50.8,8.4,1857
1993,Chris Hoiles,BAL,Catcher,28,0.31,0.416,0.585,1.001,419,130,80,29,82,1,41,7,1005935
1995,Mike Piazza,LAD,Catcher,26,0.346,0.4,0.606,1.006,434,150,82,32,93,1,40.9,6,893
2000,Mike Piazza,NYM,Catcher,31,0.324,0.398,0.614,1.012,482,156,90,38,113,4,39.4,5.8,893
2007,Jorge Posada,NYY,Catcher,35,0.338,0.426,0.543,0.97,506,171,91,20,90,2,34.6,5.6,841
1996,Mike Piazza,LAD,Catcher,27,0.336,0.422,0.563,0.985,547,184,87,36,105,0,50.2,6.6,893
1970,Dick Dietz,SFG,Catcher,28,0.3,0.426,0.515,0.941,493,148,82,22,107,0,39.1,5.1,1003290
1972,Carlton Fisk,BOS,Catcher,24,0.293,0.37,0.538,0.909,457,134,74,22,61,5,33.7,6.6,1004101
2012,Buster Posey,SFG,Catcher,25,0.336,0.408,0.549,0.957,530,178,78,24,103,1,41.8,10.1,9166
1998,Mike Piazza,None,Catcher,29,0.328,0.39,0.57,0.96,561,184,88,32,111,1,40.8,6.6,893
2000,Jorge Posada,NYY,Catcher,28,0.287,0.417,0.527,0.943,505,145,92,28,86,2,33.3,6.1,841
1977,Carlton Fisk,BOS,Catcher,29,0.315,0.402,0.521,0.922,536,169,106,26,102,7,31.9,7.6,1004101
1972,Johnny Bench,CIN,Catcher,24,0.27,0.379,0.541,0.92,538,145,87,40,125,6,39.4,9.2,1000826
1993,Mike Piazza,LAD,Catcher,24,0.318,0.37,0.561,0.932,547,174,81,35,112,3,36.3,7.4,893
1979,Darrell Porter,KCR,Catcher,27,0.291,0.421,0.484,0.905,533,155,101,20,112,3,35.5,7.5,1010450
1970,Johnny Bench,CIN,Catcher,22,0.293,0.345,0.587,0.932,605,177,97,45,148,5,37.3,7.9,1000826
1992,Darren Daulton,PHI,Catcher,30,0.27,0.385,0.524,0.908,485,131,80,27,109,11,37.1,7.2,1003010
2003,Jorge Posada,NYY,Catcher,31,0.281,0.405,0.518,0.922,481,135,83,30,101,2,28.4,6,841
1997,Todd Hundley,NYM,Catcher,28,0.273,0.394,0.549,0.943,417,114,78,30,86,2,26.8,4.4,284
