Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1995,Edgar Martinez,SEA,Designated Hitter,32,0.356,0.479,0.628,1.107,511,182,121,29,113,4,67.9,7,1086
2002,Manny Ramirez,BOS,Designated Hitter,30,0.349,0.45,0.647,1.097,436,152,84,33,107,0,48.9,5.3,210
1997,Frank Thomas,CHW,Designated Hitter,29,0.347,0.456,0.611,1.067,530,184,110,35,125,1,65.5,7.2,255
1996,Edgar Martinez,SEA,Designated Hitter,33,0.327,0.464,0.595,1.059,499,163,121,26,103,3,54.7,5.9,1086
2006,Travis Hafner,CLE,Designated Hitter,29,0.308,0.439,0.659,1.097,454,140,100,42,117,0,54.1,6,1573
2007,David Ortiz,BOS,Designated Hitter,31,0.332,0.445,0.621,1.066,549,182,116,35,117,3,58.1,6.3,745
2020,Marcell Ozuna,ATL,Designated Hitter,29,0.338,0.431,0.636,1.067,228,77,38,18,56,0,26.7,2.5,10324
1991,Frank Thomas,CHW,Designated Hitter,23,0.318,0.453,0.553,1.006,559,178,104,32,109,1,64.6,7.3,255
1995,Frank Thomas,CHW,Designated Hitter,27,0.308,0.454,0.606,1.061,493,152,102,40,111,3,57.1,5.4,255
2000,Frank Thomas,CHW,Designated Hitter,32,0.328,0.436,0.625,1.061,582,191,115,43,143,1,56.3,5.9,255
2002,Jason Giambi,NYY,Designated Hitter,31,0.314,0.435,0.598,1.034,560,176,120,41,122,2,58.2,6.6,818
1999,Rafael Palmeiro,TEX,Designated Hitter,34,0.324,0.42,0.63,1.05,565,183,96,47,148,2,49.5,5.4,1266
1997,Edgar Martinez,SEA,Designated Hitter,34,0.33,0.456,0.554,1.009,542,179,104,28,108,2,53.9,6.1,1086
1999,Edgar Martinez,SEA,Designated Hitter,36,0.337,0.447,0.554,1.001,502,169,86,24,86,7,50.2,5.3,1086
1987,Paul Molitor,MIL,Designated Hitter,30,0.353,0.438,0.566,1.003,465,164,114,16,75,45,49.2,6,1009040
1980,Reggie Jackson,NYY,Designated Hitter,34,0.3,0.398,0.597,0.995,514,154,94,41,111,1,48.3,5,1006308
1997,David Justice,CLE,Designated Hitter,31,0.329,0.418,0.596,1.013,495,163,84,33,101,3,41.7,4.2,923
2018,J.D. Martinez,BOS,Designated Hitter,30,0.33,0.402,0.629,1.031,569,188,111,43,130,6,50.5,5.9,6184
2006,David Ortiz,BOS,Designated Hitter,30,0.287,0.413,0.636,1.049,558,160,115,54,137,1,46.6,5.3,745
1998,Edgar Martinez,SEA,Designated Hitter,35,0.322,0.428,0.564,0.991,559,180,86,29,103,1,48.6,5.5,1086
1978,Jim Rice,BOS,Designated Hitter,25,0.315,0.37,0.6,0.97,677,213,121,46,139,7,51.2,7.7,1010897
2008,Milton Bradley,TEX,Designated Hitter,30,0.321,0.436,0.563,0.999,414,133,78,22,77,5,33.6,4.3,369
2000,Edgar Martinez,SEA,Designated Hitter,37,0.324,0.423,0.579,1.002,556,180,100,37,145,3,49.5,5.3,1086
2005,Travis Hafner,CLE,Designated Hitter,28,0.305,0.408,0.595,1.003,486,148,94,33,108,0,46.9,5.3,1573
2005,Jason Giambi,NYY,Designated Hitter,34,0.271,0.44,0.535,0.975,417,113,74,32,87,0,41.4,4.2,818
2006,Jim Thome,CHW,Designated Hitter,35,0.288,0.416,0.598,1.014,490,141,108,42,109,0,43.7,4.8,409
2016,David Ortiz,BOS,Designated Hitter,40,0.315,0.401,0.62,1.021,537,169,79,38,127,2,37.5,4.5,745
2005,David Ortiz,BOS,Designated Hitter,29,0.3,0.397,0.604,1.001,601,180,119,47,148,1,45.7,5.3,745
2004,Travis Hafner,CLE,Designated Hitter,27,0.311,0.41,0.583,0.993,482,150,96,28,109,3,43.5,4.7,1573
2019,Nelson Cruz,MIN,Designated Hitter,38,0.311,0.392,0.639,1.031,454,141,81,41,108,0,37.7,4.3,2434
1999,John Jaha,OAK,Designated Hitter,33,0.276,0.414,0.556,0.97,457,126,93,35,111,2,37.9,4.1,1006336
2001,Manny Ramirez,BOS,Designated Hitter,29,0.306,0.405,0.609,1.014,529,162,93,41,125,0,43.1,5.2,210
1977,Jim Rice,BOS,Designated Hitter,24,0.32,0.376,0.593,0.969,644,206,104,39,114,5,42.5,5,1010897
1994,Bob Hamelin,KCR,Designated Hitter,26,0.282,0.388,0.599,0.987,312,88,64,24,65,4,22.2,2.4,1005269
1998,Eric Davis,BAL,Designated Hitter,36,0.327,0.388,0.582,0.97,452,148,81,28,89,7,32.7,3.2,1003048
2007,Jim Thome,CHW,Designated Hitter,36,0.275,0.41,0.563,0.973,432,119,79,35,96,0,29.5,3.4,409
2020,Nelson Cruz,MIN,Designated Hitter,39,0.303,0.397,0.595,0.992,185,56,33,16,33,0,16.1,2,2434
2014,Victor Martinez,DET,Designated Hitter,35,0.335,0.409,0.565,0.974,561,188,87,32,103,3,40,4.5,393
1994,Chili Davis,CAL,Designated Hitter,34,0.311,0.41,0.561,0.971,392,122,72,26,84,3,26.7,3,1003041
2001,Edgar Martinez,SEA,Designated Hitter,38,0.306,0.423,0.543,0.966,470,144,80,23,116,4,41.8,4.7,1086
2004,David Ortiz,BOS,Designated Hitter,28,0.301,0.38,0.603,0.983,582,175,94,41,139,0,36,4.2,745
1995,Chili Davis,CAL,Designated Hitter,35,0.318,0.429,0.514,0.943,424,135,81,20,86,3,27.5,3.2,1003041
2011,David Ortiz,BOS,Designated Hitter,35,0.309,0.398,0.554,0.953,525,162,84,29,96,1,30,3.7,745
2006,Jason Giambi,NYY,Designated Hitter,35,0.253,0.413,0.558,0.971,446,113,92,37,113,2,31.4,3,818
1996,John Jaha,MIL,Designated Hitter,30,0.3,0.398,0.543,0.941,543,163,108,34,118,3,29.6,3.7,1006336
1998,Tim Salmon,ANA,Designated Hitter,29,0.3,0.41,0.533,0.943,463,139,84,26,88,0,31,3.3,32
2000,David Justice,,Designated Hitter,34,0.286,0.377,0.584,0.961,524,150,89,41,118,2,30.8,5.2,923
2003,Frank Thomas,CHW,Designated Hitter,35,0.267,0.39,0.562,0.952,546,146,87,42,105,0,35,4.2,255
1978,Larry Hisle,MIL,Designated Hitter,31,0.29,0.374,0.533,0.906,520,151,96,34,115,10,37,5,1005858
2003,Jason Giambi,NYY,Designated Hitter,32,0.25,0.412,0.527,0.939,535,134,97,41,107,2,42.8,5,818
1996,Dave Nilsson,MIL,Designated Hitter,26,0.331,0.407,0.525,0.932,453,150,81,17,84,2,21.2,2.3,1009601
2002,Rafael Palmeiro,TEX,Designated Hitter,37,0.273,0.391,0.571,0.962,546,149,99,43,105,2,32.9,4.5,1266
1994,Paul Molitor,TOR,Designated Hitter,37,0.341,0.41,0.518,0.927,454,155,86,14,75,20,30.6,3.4,1009040
1995,Harold Baines,BAL,Designated Hitter,36,0.299,0.403,0.54,0.943,385,115,60,24,63,0,22.1,2.4,1000434
1993,Paul Molitor,TOR,Designated Hitter,36,0.332,0.402,0.509,0.911,636,211,121,22,111,22,42.4,4.8,1009040
2003,David Ortiz,BOS,Designated Hitter,27,0.288,0.369,0.592,0.961,448,129,79,31,101,0,25.4,3.2,745
2000,Mike Sweeney,KCR,Designated Hitter,26,0.333,0.407,0.523,0.93,618,206,105,29,144,8,28.8,3.3,634
2013,David Ortiz,BOS,Designated Hitter,37,0.309,0.395,0.564,0.959,518,160,84,30,103,4,27,3.4,745
1995,Jose Canseco,BOS,Designated Hitter,30,0.306,0.378,0.556,0.933,396,121,64,24,81,4,21.2,2.5,1001918
2000,Rafael Palmeiro,TEX,Designated Hitter,35,0.288,0.397,0.558,0.954,565,163,102,39,120,2,27.6,3.1,1266
1992,Danny Tartabull,NYY,Designated Hitter,29,0.266,0.409,0.489,0.898,421,112,72,25,85,2,30.6,3.7,1012829
2000,Jim Thome,CLE,Designated Hitter,29,0.269,0.398,0.531,0.929,557,150,106,37,106,1,29.5,4.4,409
1990,Jose Canseco,OAK,Designated Hitter,25,0.274,0.371,0.543,0.914,481,132,83,37,101,19,36,5.2,1001918
1994,Jose Canseco,TEX,Designated Hitter,29,0.282,0.386,0.552,0.939,429,121,88,31,90,15,22.3,2.7,1001918
1988,Kent Hrbek,MIN,Designated Hitter,28,0.312,0.387,0.52,0.907,510,159,75,25,76,0,29.8,4.3,1006117
1994,Julio Franco,CHW,Designated Hitter,35,0.319,0.406,0.51,0.916,433,138,72,20,98,8,28.3,3.1,87
1982,Hal McRae,KCR,Designated Hitter,36,0.308,0.369,0.542,0.91,613,189,91,27,133,4,36.7,4.3,1008687
2007,Jack Cust,OAK,Designated Hitter,28,0.256,0.408,0.504,0.912,395,101,61,26,82,0,25.1,2.8,1564
2007,Vladimir Guerrero,LAA,Designated Hitter,32,0.324,0.403,0.547,0.95,574,186,89,27,125,2,28.1,3.2,778
2015,Nelson Cruz,SEA,Designated Hitter,34,0.302,0.369,0.566,0.936,590,178,90,44,93,3,41.2,5,2434
2012,Edwin Encarnacion,TOR,Designated Hitter,29,0.28,0.384,0.557,0.941,542,152,93,42,110,13,40.5,4.6,2151
