Season,Name,Team,Position,Age,AVG,OBP,SLG,OPS,AB,H,R,HR,RBI,SB,Off,WAR,playerid
1996,Alex Rodriguez,SEA,Shortstop,20,0.358,0.414,0.631,1.045,601,215,141,36,123,15,56,9.2,1274
1999,Nomar Garciaparra,BOS,Shortstop,25,0.357,0.418,0.603,1.022,532,190,103,27,104,14,46.5,6.3,190
1969,Rico Petrocelli,BOS,Shortstop,26,0.297,0.403,0.589,0.992,535,159,92,40,97,3,46,9.6,1010245
2000,Nomar Garciaparra,BOS,Shortstop,26,0.372,0.434,0.599,1.033,529,197,104,21,96,5,44.4,7.6,190
2000,Alex Rodriguez,SEA,Shortstop,24,0.316,0.42,0.606,1.026,554,175,134,41,132,15,54.4,9.5,1274
1999,Derek Jeter,NYY,Shortstop,25,0.349,0.438,0.552,0.989,627,219,134,24,102,19,55.9,7.4,826
2001,Alex Rodriguez,TEX,Shortstop,25,0.318,0.399,0.622,1.021,632,201,133,52,135,18,56.6,7.8,1274
2002,Alex Rodriguez,TEX,Shortstop,26,0.3,0.392,0.623,1.015,624,187,125,57,142,9,56.1,10,1274
2019,Alex Bregman,HOU,Shortstop,25,0.296,0.423,0.592,1.015,554,164,122,41,112,5,58.7,8.5,17678
1996,Barry Larkin,CIN,Shortstop,32,0.298,0.41,0.567,0.977,517,154,117,33,89,36,47.5,6.8,335
2003,Alex Rodriguez,TEX,Shortstop,27,0.298,0.396,0.6,0.995,607,181,124,47,118,17,50.3,9.2,1274
1982,Robin Yount,MIL,Shortstop,26,0.331,0.379,0.578,0.957,635,210,129,29,114,14,54.7,9.8,1014396
2020,Trea Turner,WSN,Shortstop,27,0.335,0.394,0.588,0.982,233,78,46,12,41,12,21.6,2.7,16252
1987,Alan Trammell,DET,Shortstop,29,0.343,0.402,0.551,0.953,597,205,109,28,105,21,47,7.7,1013157
2009,Hanley Ramirez,FLA,Shortstop,25,0.342,0.41,0.543,0.954,576,197,101,24,106,27,44,7.1,8001
2010,Troy Tulowitzki,COL,Shortstop,25,0.315,0.381,0.568,0.949,470,148,89,27,95,11,25.1,5.5,3531
1991,Cal Ripken,BAL,Shortstop,30,0.323,0.374,0.566,0.94,650,210,99,34,114,6,46.9,10.6,1010978
2007,Hanley Ramirez,FLA,Shortstop,23,0.332,0.386,0.562,0.948,639,212,125,29,81,51,43.8,5.2,8001
1995,John Valentin,BOS,Shortstop,28,0.298,0.399,0.533,0.931,520,155,108,27,102,20,32.6,8.2,1375
2008,Hanley Ramirez,FLA,Shortstop,24,0.301,0.4,0.54,0.94,589,177,125,33,67,35,44.8,7.4,8001
1998,Nomar Garciaparra,BOS,Shortstop,24,0.323,0.362,0.584,0.946,604,195,111,35,122,12,32.6,7.3,190
2013,Troy Tulowitzki,COL,Shortstop,28,0.312,0.391,0.54,0.931,446,139,72,25,82,1,21.6,4.9,3531
2001,Rich Aurilia,SFG,Shortstop,29,0.324,0.369,0.572,0.941,636,206,114,37,97,1,38.5,7.1,1106
1999,Alex Rodriguez,SEA,Shortstop,23,0.285,0.357,0.586,0.943,502,143,110,42,111,21,28.9,4.7,1274
1975,Toby Harrah,TEX,Shortstop,26,0.293,0.404,0.458,0.862,522,153,81,20,93,23,34.9,6.9,1005384
2009,Troy Tulowitzki,COL,Shortstop,24,0.297,0.377,0.552,0.93,543,161,101,32,92,20,23.6,5.3,3531
2000,Derek Jeter,NYY,Shortstop,26,0.339,0.416,0.481,0.896,593,201,119,15,73,22,33.3,3.7,826
2020,Corey Seager,LAD,Shortstop,26,0.307,0.358,0.585,0.943,212,65,38,15,41,1,13.5,1.9,13624
1998,Alex Rodriguez,SEA,Shortstop,22,0.31,0.36,0.56,0.919,686,213,123,42,124,46,37.8,7.9,1274
