"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1980","George Brett","KCR","27",".390",".454",".664","1.118","449","175","87","24","118","15","59.7","9.1","1001400"
"1981","Mike Schmidt","PHI","31",".316",".435",".644","1.080","354","112","78","31","91","12","47.4","7.8","1011586"
"2013","Miguel Cabrera","DET","30",".348",".442",".636","1.078","555","193","103","44","137","3","62.6","8.6","1744"
"1996","Jim Thome","CLE","25",".311",".450",".612","1.062","505","157","122","38","116","2","54.5","7.4","409"
"1999","Chipper Jones","ATL","27",".319",".441",".633","1.074","567","181","116","45","110","25","65.3","7.3","97"
"2008","Chipper Jones","ATL","36",".364",".470",".574","1.044","439","160","82","22","75","4","49.5","7.1","97"
"2007","Alex Rodriguez","NYY","31",".314",".422",".645","1.067","583","183","143","54","156","24","74.2","9.6","1274"
"1987","Wade Boggs","BOS","29",".363",".461",".588","1.049","551","200","108","24","89","1","58.6","8.9","1001124"
"1969","Harmon Killebrew","MIN","33",".276",".427",".584","1.011","555","153","106","49","140","8","60.7","7.1","1006905"
"2005","Alex Rodriguez","NYY","29",".321",".421",".610","1.031","605","194","124","48","130","21","66.6","9.1","1274"
"2007","Chipper Jones","ATL","35",".337",".425",".604","1.029","513","173","108","29","102","5","47.6","6.9","97"
"1987","Paul Molitor","MIL","30",".353",".438",".566","1.003","465","164","114","16","75","45","49.2","6.0","1009040"
"1995","Jim Thome","CLE","24",".314",".438",".558",".996","452","142","92","25","73","4","41.7","6.0","409"
"1985","George Brett","KCR","32",".335",".436",".585","1.022","550","184","108","30","112","9","55.5","8.3","1001400"
"1971","Joe Torre","STL","30",".363",".421",".555",".976","634","230","97","24","137","4","57.2","6.9","1013133"
"1985","Pedro Guerrero","LAD","29",".320",".422",".577",".999","487","156","99","33","87","12","53.9","7.8","1005120"
"1980","Mike Schmidt","PHI","30",".286",".380",".624","1.004","548","157","104","48","121","12","53.2","9.0","1011586"
"2001","Chipper Jones","ATL","29",".330",".427",".605","1.032","572","189","113","38","102","9","51.6","6.1","97"
"1988","Wade Boggs","BOS","30",".366",".476",".490",".965","584","214","128","5","58","2","54.2","8.6","1001124"
"1970","Tony Perez","CIN","28",".317",".401",".589",".990","587","186","107","40","129","8","52.9","8.2","1010188"
"1996","Ken Caminiti","SDP","33",".326",".408",".621","1.028","546","178","109","40","130","11","55.7","7.5","1001863"
"1992","Gary Sheffield","SDP","23",".330",".385",".580",".965","557","184","87","33","100","5","46.9","6.5","114"
"2000","Troy Glaus","ANA","23",".284",".404",".604","1.008","563","160","120","47","102","14","43.7","8.2","15"
"2004","Adrian Beltre","LAD","25",".334",".388",".629","1.017","598","200","104","48","121","7","49.5","9.7","639"
"2001","Albert Pujols","STL","21",".329",".403",".610","1.013","590","194","112","37","130","1","50.7","7.2","1177"
"2004","Scott Rolen","STL","29",".314",".409",".598","1.007","500","157","109","34","124","4","49.3","9.0","970"
"2010","Jose Bautista","TOR","29",".260",".378",".617",".995","569","148","109","54","124","9","51.6","6.5","1887"
"1973","Darrell Evans","ATL","26",".281",".403",".556",".959","595","167","114","41","104","6","49.4","9.7","1003864"
"1992","Edgar Martinez","SEA","29",".343",".404",".544",".948","528","181","100","18","73","14","44.6","6.0","1086"
"2004","Melvin Mora","BAL","32",".340",".419",".562",".981","550","187","111","27","104","11","47.4","6.2","157"
"2019","Alex Bregman","HOU","25",".296",".423",".592","1.015","554","164","122","41","112","5","58.7","8.5","17678"
"2012","Miguel Cabrera","DET","29",".330",".393",".606",".999","622","205","109","44","139","4","46.2","7.3","1744"
"1974","Mike Schmidt","PHI","24",".282",".395",".546",".941","568","160","108","36","116","23","44.7","9.4","1011586"
"1983","Wade Boggs","BOS","25",".361",".444",".486",".931","582","210","100","5","73","3","43.3","7.7","1001124"
"2006","Miguel Cabrera","FLA","23",".339",".430",".568",".998","576","195","112","26","114","9","44.3","6.3","1744"
"1985","Wade Boggs","BOS","27",".368",".450",".478",".928","653","240","107","8","78","2","50.9","8.8","1001124"
"1977","Mike Schmidt","PHI","27",".274",".393",".574",".967","544","149","114","38","101","15","44.5","9.2","1011586"
"2020","Jose Ramirez","CLE","27",".292",".386",".607",".993","219","64","45","17","46","10","21.9","3.4","13510"
"1986","Wade Boggs","BOS","28",".357",".453",".486",".939","580","207","107","8","71","0","43.2","7.7","1001124"
"2007","David Wright","NYM","24",".325",".416",".546",".963","604","196","113","30","107","34","53.4","8.4","3787"
"2009","Kevin Youkilis","BOS","30",".305",".413",".548",".961","491","150","99","27","94","7","36.6","5.9","1935"
"2019","Anthony Rendon","WSN","29",".319",".412",".598","1.010","545","174","117","34","126","5","46.8","7.0","12861"
"1970","Harmon Killebrew","MIN","34",".271",".411",".546",".957","527","143","96","41","113","0","41.2","5.5","1006905"
"1976","Bill Madlock","CHC","25",".339",".412",".500",".912","514","174","68","15","84","15","31.0","4.8","1007957"
"1999","Fernando Tatis","STL","24",".298",".404",".553",".957","537","160","104","34","107","21","35.8","3.2","798"
"1998","Chipper Jones","ATL","26",".313",".404",".547",".951","601","188","123","34","107","16","45.8","7.1","97"
"1995","Bobby Bonilla","- - -","32",".329",".388",".576",".963","554","182","96","28","99","0","35.7","3.3","1001168"
"2008","Alex Rodriguez","NYY","32",".302",".392",".573",".965","510","154","104","35","103","18","40.4","5.8","1274"
"2006","Garrett Atkins","COL","26",".329",".409",".556",".965","602","198","117","29","120","4","32.5","5.4","1790"
