"Season","Name","Team","Age","AVG","OBP","SLG","OPS","AB","H","R","HR","RBI","SB","Off","WAR","playerid"
"1996","Alex Rodriguez","SEA","20",".358",".414",".631","1.045","601","215","141","36","123","15","56.0","9.2","1274"
"1999","Nomar Garciaparra","BOS","25",".357",".418",".603","1.022","532","190","103","27","104","14","46.5","6.3","190"
"1969","Rico Petrocelli","BOS","26",".297",".403",".589",".992","535","159","92","40","97","3","46.0","9.6","1010245"
"2000","Nomar Garciaparra","BOS","26",".372",".434",".599","1.033","529","197","104","21","96","5","44.4","7.6","190"
"2000","Alex Rodriguez","SEA","24",".316",".420",".606","1.026","554","175","134","41","132","15","54.4","9.5","1274"
"1999","Derek Jeter","NYY","25",".349",".438",".552",".989","627","219","134","24","102","19","55.9","7.4","826"
"2001","Alex Rodriguez","TEX","25",".318",".399",".622","1.021","632","201","133","52","135","18","56.6","7.8","1274"
"2002","Alex Rodriguez","TEX","26",".300",".392",".623","1.015","624","187","125","57","142","9","56.1","10.0","1274"
"2019","Alex Bregman","HOU","25",".296",".423",".592","1.015","554","164","122","41","112","5","58.7","8.5","17678"
"1996","Barry Larkin","CIN","32",".298",".410",".567",".977","517","154","117","33","89","36","47.5","6.8","335"
"2003","Alex Rodriguez","TEX","27",".298",".396",".600",".995","607","181","124","47","118","17","50.3","9.2","1274"
"1982","Robin Yount","MIL","26",".331",".379",".578",".957","635","210","129","29","114","14","54.7","9.8","1014396"
"2020","Trea Turner","WSN","27",".335",".394",".588",".982","233","78","46","12","41","12","21.6","2.7","16252"
"1987","Alan Trammell","DET","29",".343",".402",".551",".953","597","205","109","28","105","21","47.0","7.7","1013157"
"2009","Hanley Ramirez","FLA","25",".342",".410",".543",".954","576","197","101","24","106","27","44.0","7.1","8001"
"2010","Troy Tulowitzki","COL","25",".315",".381",".568",".949","470","148","89","27","95","11","25.1","5.5","3531"
"1991","Cal Ripken","BAL","30",".323",".374",".566",".940","650","210","99","34","114","6","46.9","10.6","1010978"
"2007","Hanley Ramirez","FLA","23",".332",".386",".562",".948","639","212","125","29","81","51","43.8","5.2","8001"
"1995","John Valentin","BOS","28",".298",".399",".533",".931","520","155","108","27","102","20","32.6","8.2","1375"
"2008","Hanley Ramirez","FLA","24",".301",".400",".540",".940","589","177","125","33","67","35","44.8","7.4","8001"
"1998","Nomar Garciaparra","BOS","24",".323",".362",".584",".946","604","195","111","35","122","12","32.6","7.3","190"
"2013","Troy Tulowitzki","COL","28",".312",".391",".540",".931","446","139","72","25","82","1","21.6","4.9","3531"
"2001","Rich Aurilia","SFG","29",".324",".369",".572",".941","636","206","114","37","97","1","38.5","7.1","1106"
"1999","Alex Rodriguez","SEA","23",".285",".357",".586",".943","502","143","110","42","111","21","28.9","4.7","1274"
"1975","Toby Harrah","TEX","26",".293",".404",".458",".862","522","153","81","20","93","23","34.9","6.9","1005384"
"2009","Troy Tulowitzki","COL","24",".297",".377",".552",".930","543","161","101","32","92","20","23.6","5.3","3531"
"2000","Derek Jeter","NYY","26",".339",".416",".481",".896","593","201","119","15","73","22","33.3","3.7","826"
"2020","Corey Seager","LAD","26",".307",".358",".585",".943","212","65","38","15","41","1","13.5","1.9","13624"
"1998","Alex Rodriguez","SEA","22",".310",".360",".560",".919","686","213","123","42","124","46","37.8","7.9","1274"
"1991","Barry Larkin","CIN","27",".302",".378",".506",".884","464","140","88","20","69","24","31.2","6.0","335"
"1984","Cal Ripken","BAL","23",".304",".374",".510",".884","641","195","103","27","86","2","38.9","9.8","1010978"
"2020","Fernando Tatis Jr.","SDP","21",".277",".366",".571",".937","224","62","50","17","45","11","17.5","2.9","19709"
"2017","Zack Cozart","CIN","31",".297",".385",".548",".933","438","130","80","24","63","3","24.3","5.0","2616"
"2006","Derek Jeter","NYY","32",".343",".417",".483",".900","623","214","118","14","97","34","39.9","6.1","826"
"1983","Cal Ripken","BAL","22",".318",".371",".517",".888","663","211","121","27","102","0","37.6","8.5","1010978"
"2004","Carlos Guillen","DET","28",".318",".379",".542",".921","522","166","97","20","97","12","33.8","5.4","1079"
"2006","Carlos Guillen","DET","30",".320",".400",".519",".920","543","174","100","19","85","20","30.3","5.8","1079"
"1998","Barry Larkin","CIN","34",".309",".397",".504",".901","538","166","93","17","72","26","32.0","5.9","335"
"2019","Xander Bogaerts","BOS","26",".309",".384",".555",".939","614","190","110","33","117","4","37.7","6.8","12161"
